🔞CR18,#genre#
🔞紅松,http://app1.276868.cloud/5fe26e5ca66ab3ec7f0f5bb1b8d48745/77ffa26b3f9c055a91264e2ea851c8b511195195462e187d17e50b7ebc53c9a2/446379fbdddf6c54a5620b6e442afd73/index.m3u8
🔞香蕉台,http://app1.276868.cloud/25712cf89d2d5f29611669fa77f3402c/36e9666a419908355e1e97c5135e8178ad726a30d7ff5b3e01dd567af168968b/dd18c7572f6fa68799ed27685fafa1da/index.m3u8
🔞松视4,https://kdy-oss.oss01-cn-lasa-xzns-d01-a.cloud.ningsuan.com.cn/kodbox/202408/03/rujQp-q77gmjw?response-content-disposition=inline%3Bfilename%3DS4-1.mp4&response-content-type=video%2Fmp4&OSSAccessKeyId=FfDrPsUMS4h3sKnf&Expires=1724342399&Signature=CKh0c8FGcWYyvfWyR7ho2YRXcpE%3D
🔞彩虹K,https://kdy-oss.oss01-cn-lasa-xzns-d01-a.cloud.ningsuan.com.cn/kodbox/202407/17/cBZe8-ncTtIVg?response-content-disposition=inline%3Bfilename%3Dch-k1.mp4&response-content-type=video%2Fmp4&OSSAccessKeyId=FfDrPsUMS4h3sKnf&Expires=1724342399&Signature=oCqIhAM%2FUQsAETyii1J7KWw7NnY%3D
🔞奥视香蕉,https://kdy-oss.oss01-cn-lasa-xzns-d01-a.cloud.ningsuan.com.cn/kodbox/202408/07/unjZH-rqBP75A?response-content-disposition=inline%3Bfilename%3DXJ-2.mp4&response-content-type=video%2Fmp4&OSSAccessKeyId=FfDrPsUMS4h3sKnf&Expires=1724342399&Signature=SLLbOCNYBoTh4ynbSp4OHx0%2BnVU%3D
🔞奥视潘多拉粉红,https://kdy-oss.oss01-cn-lasa-xzns-d01-a.cloud.ningsuan.com.cn/kodbox/202408/07/RwtNv-rqExIVg?response-content-disposition=inline%3Bfilename%3DPDL-3.mp4&response-content-type=video%2Fmp4&OSSAccessKeyId=FfDrPsUMS4h3sKnf&Expires=1724342399&Signature=LRolaD9C81pdCXfBezeazVXDxII%3D
🔞潘多拉完美,https://kdy-oss.oss01-cn-lasa-xzns-d01-a.cloud.ningsuan.com.cn/kodbox/202408/12/jx4TI-sqVV6ag?response-content-disposition=inline%3Bfilename%3DPDL-2.mp4&response-content-type=video%2Fmp4&OSSAccessKeyId=FfDrPsUMS4h3sKnf&Expires=1724342399&Signature=jt70TnRRHib7sVweqGf4OLkcrcM%3D
🔞HAPPY,https://kdy-oss.oss01-cn-lasa-xzns-d01-a.cloud.ningsuan.com.cn/kodbox/202408/04/8KTwR-q-hMGyw?response-content-disposition=inline%3Bfilename%3Dppy-1.mp4&response-content-type=video%2Fmp4&OSSAccessKeyId=FfDrPsUMS4h3sKnf&Expires=1724342399&Signature=OH1GMTtE1fR%2BJhXX6wGQ6pnVuys%3D
惊艳,http://203.75.191.130:8156/VideoInput/play.ts
香蕉,http://203.75.191.130:8159/VideoInput/play.ts
